Species,Accuracy,AUC PR,AUC ROC,Average Precision
19284,0.8,0.8571428571428572,0.8,0.7142857142857143
13270,0.7,0.8499999999999999,0.7600000000000001,0.8
10717,0.7,0.885,0.8400000000000001,0.8599999999999999
32944,1.0,1.0,1.0,1.0
39579,0.9,1.0,1.0,1.0
27123,0.6,0.8599999999999999,0.8800000000000001,0.8766666666666667
43339,0.8,0.9333333333333333,0.9199999999999999,0.8666666666666667
42888,0.7,0.625,0.8,0.7166666666666667
74831,0.6,0.8647619047619047,0.84,0.8761904761904762
135104,0.9,0.9166666666666665,0.8600000000000001,0.8999999999999999
180009,1.0,1.0,1.0,1.0
42228,1.0,1.0,1.0,1.0
42138,0.9,0.9299999999999999,0.8800000000000001,0.8999999999999999
43561,0.6,0.7183333333333333,0.7000000000000001,0.6499999999999999
43593,0.6,0.58,0.7000000000000001,0.6433333333333333
44395,0.6,0.6699999999999999,0.66,0.6866666666666665
45997,,,,
47014,0.9,1.0,1.0,1.0
41676,0.6,0.5583333333333333,0.6400000000000001,0.5833333333333333
43523,0.7,0.9299999999999999,0.8800000000000001,0.8999999999999999
41888,0.7,0.95,0.9,0.8999999999999999
46256,0.8,0.7766666666666666,0.8400000000000001,0.81
423656,0.4,0.4942857142857143,0.42000000000000004,0.4442857142857143
1369291,,,,
180008,1.0,1.0,1.0,1.0
180001,0.8,0.8999999999999999,0.8,0.8
44282,0.7,0.75,0.6399999999999999,0.7
42278,0.4,0.5866666666666667,0.6000000000000001,0.5533333333333332
42223,0.6,0.8338095238095238,0.76,0.8333333333333333
46010,0.8,0.8571428571428572,0.8,0.7142857142857143
43567,0.7,0.8999999999999999,0.8,0.8
41180,0.5,0.44666666666666666,0.48,0.4866666666666666
31226,0.6,0.7433333333333334,0.7600000000000001,0.7433333333333334
539913,,,,
528911,1.0,1.0,1.0,1.0
33061,0.8,1.0,1.0,1.0
35854,0.7,0.5647619047619048,0.76,0.7295238095238095
717903,0.8,0.95,0.9,0.8999999999999999
318623,0.8,0.6914285714285715,0.8,0.7228571428571429
33189,0.4,0.4026190476190476,0.4,0.46095238095238095
30947,0.8,0.8571428571428572,0.8,0.7142857142857143
36433,1.0,1.0,1.0,1.0
108348,0.8,0.8916666666666667,0.9,0.8833333333333333
29808,0.9,0.9166666666666665,0.8600000000000001,0.8999999999999999
539693,,,,
33187,,,,
539050,0.5,0.6895238095238094,0.72,0.7390476190476191
28557,0.7,0.8347619047619047,0.8400000000000001,0.852857142857143
35430,0.7,0.5933333333333334,0.7200000000000001,0.6433333333333333
29976,0.8,0.8714285714285714,0.86,0.7828571428571429
73823,0.6,0.6033333333333334,0.6200000000000001,0.5533333333333332
33297,,,,
35034,0.6,0.52,0.6200000000000001,0.5866666666666666
68530,0.8,0.6357142857142858,0.74,0.6714285714285715
29793,0.8,0.9380952380952381,0.92,0.9428571428571428
476523,0.8,0.9166666666666667,0.9,0.8333333333333334
26729,0.7,0.86,0.8800000000000001,0.8766666666666667
26197,0.8,0.7833333333333332,0.84,0.7666666666666666
65212,,,,
22846,0.8,1.0,1.0,1.0
67258,0.7,0.9380952380952381,0.92,0.9428571428571428
27658,0.8,0.8571428571428572,0.8,0.7142857142857143
67188,0.4,0.44666666666666666,0.48,0.4866666666666666
64975,0.6,0.7533333333333334,0.7000000000000001,0.7533333333333332
23654,,,,
135055,0.4,0.5166666666666666,0.5599999999999999,0.5333333333333333
27005,,,,
22974,,,,
64987,0.9,1.0,1.0,1.0
517130,0.7,0.7914285714285714,0.78,0.7961904761904761
26747,0.8,0.6014285714285713,0.76,0.6861904761904762
24268,0.6,0.7,0.5800000000000001,0.7
26395,,,,
517053,0.8,0.885,0.8400000000000001,0.8599999999999999
64978,0.6,0.7033333333333334,0.66,0.6533333333333333
22066,,,,
64972,0.6,0.6266666666666667,0.8,0.71
65996,0.8,0.893095238095238,0.88,0.9028571428571429
13350,0.6,0.795,0.7,0.75
20379,1.0,1.0,1.0,1.0
8046,0.7,0.885,0.8400000000000001,0.8599999999999999
14637,,,,
4585,0.8,1.0,1.0,1.0
144484,0.8,1.0,1.0,1.0
143853,0.7,0.5933333333333334,0.7200000000000001,0.6433333333333333
5286,,,,
19482,0.6,0.5583333333333333,0.6400000000000001,0.5833333333333333
3924,0.6,0.6166666666666667,0.54,0.6333333333333333
4385,0.8,0.7766666666666666,0.84,0.81
73078,0.8,0.8571428571428572,0.8,0.7142857142857143
11858,0.5,0.5519047619047619,0.42,0.5857142857142856
508977,0.5,0.5833333333333333,0.5,0.6000000000000001
9491,0.7,0.75,0.6399999999999999,0.7
5430,0.4,0.41666666666666663,0.42,0.4666666666666667
728,0.4,0.6333333333333333,0.6200000000000001,0.6666666666666667
9419,0.6,0.5933333333333334,0.7200000000000001,0.6433333333333333
13702,0.6,0.6580952380952381,0.72,0.6295238095238095
7123,0.6,0.5933333333333334,0.7200000000000001,0.6433333333333333
9611,0.6,0.5583333333333333,0.6400000000000001,0.5833333333333333
116877,0.7,0.5583333333333333,0.6400000000000001,0.5833333333333333
