Species,Accuracy,AUC PR,AUC ROC,Average Precision
19284,0.8,0.8571428571428572,0.8,0.7142857142857143
13270,0.8,0.893095238095238,0.88,0.9028571428571429
10717,0.8,0.9666666666666666,0.96,0.9333333333333333
32944,1.0,1.0,1.0,1.0
39579,0.8,0.8500000000000001,0.8,0.7400000000000001
27123,0.9,1.0,1.0,1.0
43339,0.7,0.8833333333333333,0.8200000000000001,0.8333333333333333
42888,0.7,0.775,0.7000000000000002,0.6499999999999999
74831,0.8,0.8571428571428572,0.8,0.7142857142857143
135104,0.9,0.9433333333333334,0.94,0.9266666666666665
180009,1.0,1.0,1.0,1.0
42228,0.8,0.9142857142857144,0.8799999999999999,0.8285714285714285
42138,0.9,0.9166666666666667,0.9,0.8333333333333334
43561,0.6,0.8,0.6,0.6000000000000001
43593,1.0,1.0,1.0,1.0
44395,0.6,0.8628571428571428,0.84,0.8857142857142857
45997,0.8,0.8500000000000001,0.8,0.7400000000000001
47014,1.0,1.0,1.0,1.0
41676,0.8,0.8500000000000001,0.8,0.7400000000000001
43523,0.9,0.9166666666666667,0.9,0.8333333333333334
41888,0.8,0.6714285714285714,0.74,0.6428571428571428
46256,0.9,0.9166666666666667,0.9,0.8333333333333334
423656,0.8,0.9142857142857144,0.8799999999999999,0.8285714285714285
1369291,0.7,0.85,0.78,0.7666666666666666
180008,0.8,0.7780952380952382,0.8200000000000001,0.7295238095238095
180001,0.6,0.7,0.6,0.56
44282,0.6,0.580952380952381,0.74,0.6619047619047619
42278,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
42223,0.8,0.8366666666666667,0.78,0.7400000000000001
46010,0.8,0.8571428571428572,0.8,0.7142857142857143
43567,0.7,0.8266666666666667,0.8,0.81
41180,0.7,0.7647619047619048,0.8200000000000001,0.7861904761904761
31226,0.8,0.8571428571428572,0.8,0.7142857142857143
539913,0.8,0.7428571428571429,0.72,0.6457142857142857
528911,1.0,1.0,1.0,1.0
33061,0.7,0.7747619047619048,0.76,0.7961904761904762
35854,0.8,0.8500000000000001,0.8,0.7400000000000001
717903,0.8,1.0,1.0,1.0
318623,0.8,0.6642857142857144,0.6799999999999999,0.6285714285714286
33189,0.8,0.9064285714285714,0.9,0.9028571428571428
30947,0.7,0.8714285714285714,0.8400000000000001,0.8095238095238095
36433,0.8,0.8571428571428572,0.8,0.7142857142857143
108348,0.9,0.8833333333333334,0.8800000000000001,0.8066666666666668
29808,0.8,0.6357142857142858,0.74,0.6714285714285715
539693,0.8,0.9433333333333334,0.94,0.9266666666666666
33187,0.5,0.5895238095238095,0.64,0.5723809523809523
539050,0.7,0.7714285714285714,0.76,0.8095238095238095
28557,0.9,0.9166666666666667,0.9,0.8333333333333334
35430,0.7,0.8428571428571427,0.84,0.7857142857142858
29976,0.7,0.8966666666666667,0.8400000000000001,0.86
73823,0.6,0.7,0.6,0.56
33297,0.8,0.8571428571428572,0.8,0.7142857142857143
35034,0.6,0.8147619047619048,0.8,0.7761904761904761
68530,0.9,0.7833333333333332,0.8400000000000001,0.7666666666666666
29793,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
476523,0.9,0.9833333333333334,0.9800000000000001,0.9666666666666667
26729,0.9,0.59,0.8,0.7533333333333334
26197,0.6,0.6833333333333332,0.6,0.5666666666666667
65212,0.9,0.9166666666666667,0.9,0.8333333333333334
22846,0.8,0.8714285714285714,0.86,0.7828571428571429
67258,0.8,0.9047619047619047,0.8799999999999999,0.8761904761904762
27658,0.8,0.8571428571428572,0.8,0.7142857142857143
67188,0.8,0.8980952380952381,0.88,0.8628571428571429
64975,0.9,0.9433333333333334,0.94,0.9266666666666666
23654,0.7,0.7233333333333334,0.66,0.5933333333333333
135055,0.7,0.3833333333333333,0.6200000000000001,0.6333333333333333
27005,0.9,1.0,1.0,1.0
22974,0.8,0.8714285714285714,0.86,0.7828571428571429
64987,0.8,0.9142857142857144,0.8799999999999999,0.8285714285714285
517130,0.8,0.7033333333333334,0.8200000000000001,0.7466666666666667
26747,0.8,0.893095238095238,0.88,0.9028571428571428
24268,0.9,0.9166666666666667,0.9,0.8333333333333334
26395,0.5,0.55,0.5,0.5
517053,0.6,0.6400000000000001,0.6,0.6399999999999999
64978,0.8,0.9380952380952381,0.92,0.9428571428571428
22066,0.8,0.8147619047619048,0.8400000000000001,0.7861904761904761
64972,0.8,0.8714285714285714,0.8400000000000001,0.8095238095238095
65996,0.8,0.8571428571428572,0.8,0.7142857142857143
13350,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
20379,0.3,0.4828571428571428,0.6,0.5923809523809523
8046,0.7,0.7333333333333332,0.72,0.6499999999999999
14637,0.8,0.8571428571428572,0.8,0.7142857142857143
4585,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
144484,0.9,0.9166666666666667,0.9,0.8333333333333334
143853,0.8,0.6328571428571429,0.7,0.6257142857142857
5286,0.8,0.7233333333333334,0.8200000000000001,0.72
19482,0.8,1.0,1.0,1.0
3924,0.6,0.5666666666666667,0.68,0.6166666666666666
4385,0.9,0.95,0.9,0.9
73078,0.8,0.8571428571428572,0.8,0.7142857142857143
11858,0.8,0.95,0.9,0.8999999999999999
508977,0.8,0.5347619047619048,0.6799999999999999,0.6161904761904762
9491,0.8,0.81,0.78,0.71
5430,0.9,0.9166666666666667,0.9,0.8333333333333334
728,0.9,0.9166666666666667,0.9,0.8333333333333334
9419,0.6,0.7766666666666666,0.84,0.81
13702,0.6,0.7,0.6,0.56
7123,0.9,0.9500000000000001,0.9,0.9
9611,0.8,0.6214285714285713,0.6799999999999999,0.6095238095238095
116877,0.9,0.9166666666666667,0.9,0.8333333333333334
