Species,Accuracy,AUC PR,AUC ROC,Average Precision
19284,1.0,1.0,1.0,1.0
13270,0.6,0.6547619047619047,0.6000000000000001,0.5952380952380951
10717,0.9,0.9583333333333333,0.9761904761904763,0.9166666666666666
32944,1.0,1.0,1.0,1.0
39579,1.0,1.0,1.0,1.0
27123,1.0,1.0,1.0,1.0
43339,0.8,0.875,0.8333333333333334,0.75
42888,1.0,1.0,1.0,1.0
74831,0.9,0.9166666666666667,0.9,0.8333333333333334
135104,0.8,0.9,0.8,0.8
180009,0.9,0.8,0.75,0.6
42228,0.8,0.9,0.8,0.8
42138,0.7,0.8625,0.8400000000000001,0.7650000000000001
43561,0.8,0.91,0.8600000000000001,0.86
43593,0.8,0.9,0.8,0.8
44395,1.0,1.0,1.0,1.0
45997,0.9,0.9166666666666667,0.9,0.8333333333333334
47014,0.8,0.7666666666666667,0.6666666666666666,0.5333333333333333
41676,1.0,1.0,1.0,1.0
43523,0.7,0.9222222222222223,0.8800000000000001,0.9111111111111111
41888,0.9,1.0,1.0,1.0
46256,1.0,1.0,1.0,1.0
423656,1.0,1.0,1.0,1.0
1369291,0.8,0.7166666666666666,0.7619047619047619,0.5444444444444444
180008,1.0,1.0,1.0,1.0
180001,1.0,1.0,1.0,1.0
44282,0.7,0.775,0.7000000000000002,0.6499999999999999
42278,0.8,0.8500000000000001,0.8,0.7400000000000001
42223,0.7,0.85,0.7,0.7
46010,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
43567,0.7,0.85,0.7600000000000001,0.8
41180,0.8,0.9,0.8,0.8
31226,1.0,1.0,1.0,1.0
539913,1.0,1.0,1.0,1.0
528911,1.0,1.0,1.0,1.0
33061,0.9,0.8333333333333333,0.9375,0.6666666666666666
35854,1.0,1.0,1.0,1.0
717903,0.9,0.8,0.75,0.6
318623,1.0,1.0,1.0,1.0
33189,1.0,1.0,1.0,1.0
30947,0.7,0.9,0.9166666666666667,0.8
36433,0.9,0.8,0.75,0.6
108348,1.0,1.0,1.0,1.0
29808,1.0,1.0,1.0,1.0
539693,0.7,0.85,0.7600000000000001,0.8
33187,1.0,1.0,1.0,1.0
539050,0.9,1.0,1.0,1.0
28557,0.9,0.75,0.9444444444444444,0.5
35430,0.7,0.7857142857142857,0.75,0.5714285714285714
29976,0.8,0.8571428571428572,0.8,0.7142857142857143
73823,0.6,0.6799999999999999,0.62,0.5866666666666667
33297,0.5,0.875,0.9285714285714285,0.75
35034,1.0,1.0,1.0,1.0
68530,1.0,1.0,1.0,1.0
29793,1.0,1.0,1.0,1.0
476523,0.9,0.875,0.9285714285714286,0.75
26729,1.0,1.0,1.0,1.0
26197,0.6,0.7357142857142857,0.6000000000000001,0.5571428571428572
65212,0.8,1.0,1.0,1.0
22846,1.0,1.0,1.0,1.0
67258,0.9,0.75,0.9444444444444444,0.5
27658,0.9,0.75,0.9444444444444444,0.5
67188,1.0,1.0,1.0,1.0
64975,1.0,1.0,1.0,1.0
23654,1.0,1.0,1.0,1.0
135055,0.8,0.7666666666666667,0.6666666666666666,0.5333333333333333
27005,1.0,1.0,1.0,1.0
22974,1.0,1.0,1.0,1.0
64987,1.0,1.0,1.0,1.0
517130,1.0,1.0,1.0,1.0
26747,1.0,1.0,1.0,1.0
24268,1.0,1.0,1.0,1.0
26395,0.8,1.0,1.0,1.0
517053,0.6,0.7777777777777778,0.6,0.5555555555555556
64978,1.0,1.0,1.0,1.0
22066,1.0,1.0,1.0,1.0
64972,1.0,1.0,1.0,1.0
65996,0.9,1.0,1.0,1.0
13350,0.7,0.9047619047619048,0.8799999999999999,0.8761904761904762
20379,1.0,1.0,1.0,1.0
8046,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
14637,1.0,1.0,1.0,1.0
4585,0.9,0.9166666666666667,0.9,0.8333333333333334
144484,0.6,0.95,0.9,0.9000000000000001
143853,0.9,1.0,1.0,1.0
5286,1.0,1.0,1.0,1.0
19482,0.7,0.85,0.7,0.7
3924,0.7,0.8271428571428572,0.76,0.7400000000000001
4385,0.9,0.925,0.875,0.85
73078,1.0,1.0,1.0,1.0
11858,0.6,0.8,0.6,0.6000000000000001
508977,0.9,0.8,0.75,0.6
9491,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
5430,,,,
728,0.7,0.7166666666666667,0.7380952380952381,0.6
9419,0.9,0.925,0.875,0.85
13702,1.0,1.0,1.0,1.0
7123,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
9611,1.0,1.0,1.0,1.0
116877,0.9,0.95,0.9,0.9
