Species,F1
42888,0.679468655325099
135104,0.6092774308652988
19284,0.5244738130200686
10717,0.19231277242108044
39579,0.0742376320343737
32944,0.0
13270,0.66986377945806
74831,
27123,0.08503937007874016
43339,0.38596491228070173
180009,0.49504950495049505
42228,
42138,
43561,0.029462627297764683
43593,
44395,
45997,0.4155032298395499
47014,0.4856499448996215
41676,0.19633481921743437
43523,0.04272400209242989
41888,
46256,
423656,0.43741154269539234
1369291,0.0286368843069874
180008,0.012988290858998327
180001,0.1681107702836472
44282,0.1944098536501165
42278,
42223,0.6096759197768628
46010,0.2626303947637554
43567,
41180,0.04085614276697079
31226,0.018359057676685622
539913,0.0
528911,0.003403289846851957
33061,0.14973052425281724
35854,0.008911819887429643
717903,0.008
318623,0.41389290882778584
33189,0.6798936776153408
30947,0.07021276595744681
36433,0.37037037037037035
108348,0.6981339187705817
29808,0.008547008547008548
539693,0.43921026935625995
33187,0.039370982552800735
539050,0.4047881823584345
28557,
35430,0.17184643510054845
29976,0.01806203271892812
73823,0.005368687597785416
33297,
35034,0.0
68530,
29793,
476523,0.01226790450928382
26729,0.11574697173620457
26197,
65212,0.0018779342723004694
22846,0.4458392698987254
67258,
27658,0.19402985074626866
67188,0.0
64975,0.17432704632851126
23654,0.0
135055,
27005,0.48025078369905955
22974,0.0
64987,0.47960199004975124
517130,0.18591844762029633
26747,
24268,0.6237448844958293
26395,0.003289473684210526
517053,
64978,0.6894606183705709
22066,0.35723598435462844
64972,
65996,0.03934347091479604
13350,
20379,0.17513513513513512
8046,0.16196842988231108
14637,
4585,0.34147994903982143
144484,0.5116969134984766
143853,
5286,0.4050369848538218
19482,0.11410707307542009
3924,0.41795258413268743
4385,
73078,0.4188034188034188
11858,0.3227168304066587
508977,
9491,0.09406859168143437
5430,0.26528078609540917
728,
9419,0.24872334034244517
13702,0.1594571670907549
7123,
9611,0.42750783699059564
116877,0.24808124298015724
