index,inat_id,common_name,scientific_name,trait,correct_answers,units
2248_beak length,2248,White-fronted Bee-eater,Merops bullockoides,beak length,37.5,millimeters
3326_beak length,3326,Blue-spotted Wood-Dove,Turtur afer,beak length,17.5,millimeters
13442_beak length,13442,Cape Sugarbird,Promerops cafer,beak length,36.8,millimeters
3941_beak length,3941,Black Turnstone,Arenaria melanocephala,beak length,25.4,millimeters
20907_beak length,20907,Painted Buttonquail,Turnix varius,beak length,15.1,millimeters
979677_beak length,979677,Tickell's Blue Flycatcher,Cyornis tickelliae,beak length,14.5,millimeters
8399_beak length,8399,Chinspot Batis,Batis molitor,beak length,15.0,millimeters
6362_beak length,6362,Scintillant Hummingbird,Selasphorus scintilla,beak length,14.1,millimeters
144242_beak length,144242,Iberian Green Woodpecker,Picus sharpei,beak length,41.1,millimeters
7044_beak length,7044,Ring-necked Duck,Aythya collaris,beak length,51.4,millimeters
9236_beak length,9236,European Serin,Serinus serinus,beak length,9.2,millimeters
4504_beak length,4504,Atlantic Puffin,Fratercula arctica,beak length,51.0,millimeters
14157_beak length,14157,Southern Scrub Robin,Drymodes brunneopygia,beak length,16.5,millimeters
17619_beak length,17619,Golden-tailed Woodpecker,Campethera abingoni,beak length,26.3,millimeters
15705_beak length,15705,White-browed Tit-Warbler,Leptopoecile sophiae,beak length,10.1,millimeters
5312_beak length,5312,Pallas's Fish-Eagle,Haliaeetus leucoryphus,beak length,63.6,millimeters
1224_beak length,1224,Stone Partridge,Ptilopachus petrosus,beak length,16.9,millimeters
73547_beak length,73547,Madagascar Hoopoe,Upupa marginata,beak length,58.9,millimeters
9611_beak length,9611,Black Rosy-Finch,Leucosticte atrata,beak length,11.5,millimeters
495992_beak length,495992,Gray-breasted Spurfowl,Pternistis rufopictus,beak length,33.2,millimeters
7057_beak length,7057,Canvasback,Aythya valisineria,beak length,58.5,millimeters
5430_beak length,5430,Lizard Buzzard,Kaupifalco monogrammicus,beak length,29.3,millimeters
558609_beak length,558609,Black-throated Canary,Crithagra atrogularis,beak length,10.8,millimeters
8081_beak length,8081,White-browed Woodswallow,Artamus superciliosus,beak length,22.9,millimeters
8916_beak length,8916,Bare-necked Fruitcrow,Gymnoderus foetidus,beak length,29.3,millimeters
515243_beak length,515243,Golden-fronted Greenlet,Pachysylvia aurantiifrons,beak length,16.1,millimeters
9491_beak length,9491,Lined Seedeater,Sporophila lineola,beak length,8.7,millimeters
10090_beak length,10090,Black-hooded Sierra-Finch,Phrygilus atriceps,beak length,17.9,millimeters
979725_beak length,979725,Yellow-throated Bush Sparrow,Gymnoris superciliaris,beak length,14.2,millimeters
13808_beak length,13808,Sakalava Weaver,Ploceus sakalava,beak length,17.6,millimeters
73078_beak length,73078,Taiwan Whistling-Thrush,Myophonus insularis,beak length,30.7,millimeters
20836_beak length,20836,Narina Trogon,Apaloderma narina,beak length,19.6,millimeters
10070_beak length,10070,Common Chaffinch,Fringilla coelebs,beak length,14.7,millimeters
10438_beak length,10438,Cinnamon Tanager,Schistochlamys ruficapillus,beak length,16.0,millimeters
831_beak length,831,Gray Partridge,Perdix perdix,beak length,20.9,millimeters
54549_beak length,54549,Chinstrap Penguin,Pygoscelis antarcticus,beak length,61.8,millimeters
15750_beak length,15750,Fasciated Antshrike,Cymbilaimus lineatus,beak length,24.7,millimeters
145187_beak length,145187,White-breasted Sunbird,Cinnyris talatala,beak length,22.9,millimeters
10290_beak length,10290,Black-crowned Palm-Tanager,Phaenicophilus palmarum,beak length,21.3,millimeters
18880_beak length,18880,Blue-winged Parrot,Neophema chrysostoma,beak length,14.1,millimeters
3616_beak length,3616,Spinifex Pigeon,Geophaps plumifera,beak length,16.8,millimeters
5286_beak length,5286,Square-tailed Kite,Lophoictinia isura,beak length,45.2,millimeters
