index,inat_id,common_name,scientific_name,trait,correct_answers,units
42983_adult body length,42983,Koala,Phascolarctos cinereus,adult body length,850.0,millimeters
41822_adult body length,41822,Zorilla,Ictonyx striatus,adult body length,359.5,millimeters
42304_adult body length,42304,Bohor Reedbuck,Redunca redunca,adult body length,1375.0,millimeters
45568_adult body length,45568,Striped Field Mouse,Apodemus agrarius,adult body length,106.081,millimeters
41906_adult body length,41906,Common Dwarf Mongoose,Helogale parvula,adult body length,230.795,millimeters
42336_adult body length,42336,Grey Rhebok,Pelea capreolus,adult body length,1250.0,millimeters
59815_adult body length,59815,Masked Shrew,Sorex cinereus,adult body length,69.28,millimeters
40569_adult body length,40569,Evening Bat,Nycticeius humeralis,adult body length,50.0,millimeters
42384_adult body length,42384,Klipspringer,Oreotragus oreotragus,adult body length,987.495,millimeters
74442_adult body length,74442,Capybara,Hydrochoerus hydrochaeris,adult body length,1254.195,millimeters
225741_adult body length,225741,Gray-footed Chipmunk,Neotamias canipes,adult body length,131.4,millimeters
1077384_adult body length,1077384,Piute Ground Squirrel,Urocitellus mollis,adult body length,289.575,millimeters
42069_adult body length,42069,Red Fox,Vulpes vulpes,adult body length,630.0,millimeters
42888_adult body length,42888,Eastern Grey Kangaroo,Macropus giganteus,adult body length,1138.08,millimeters
45997_adult body length,45997,Deppe's Squirrel,Sciurus deppei,adult body length,257.745,millimeters
45314_adult body length,45314,Fawn-footed Melomys,Melomys cervinipes,adult body length,156.83,millimeters
41800_adult body length,41800,Stone Marten,Martes foina,adult body length,499.315,millimeters
46093_adult body length,46093,Olympic Marmot,Marmota olympus,adult body length,600.0,millimeters
180010_adult body length,180010,Golden-mantled Ground Squirrel,Callospermophilus lateralis,adult body length,310.19,millimeters
46255_adult body length,46255,White-tailed Antelope Squirrel,Ammospermophilus leucurus,adult body length,159.535,millimeters
47083_adult body length,47083,Six-banded Armadillo,Euphractus sexcinctus,adult body length,470.83,millimeters
74731_adult body length,74731,Mexican Greater Funnel-eared Bat,Natalus mexicanus,adult body length,46.0,millimeters
552456_adult body length,552456,Paraguay Hairy Dwarf Porcupine,Coendou spinosus,adult body length,419.924,millimeters
44899_adult body length,44899,Arizona Cotton Rat,Sigmodon arizonae,adult body length,200.0,millimeters
41900_adult body length,41900,Egyptian Mongoose,Herpestes ichneumon,adult body length,611.64,millimeters
179993_adult body length,179993,Round-tailed Ground Squirrel,Xerospermophilus tereticaudus,adult body length,280.265,millimeters
40522_adult body length,40522,Eastern Red Bat,Lasiurus borealis,adult body length,65.656,millimeters
74481_adult body length,74481,Geoffroy's Cat,Leopardus geoffroyi,adult body length,700.0,millimeters
42657_adult body length,42657,Big-eared Opossum,Didelphis aurita,adult body length,396.35,millimeters
46283_adult body length,46283,Common Treeshrew,Tupaia glis,adult body length,207.5,millimeters
42007_adult body length,42007,Mountain Lion,Puma concolor,adult body length,1677.665,millimeters
45437_adult body length,45437,Southern Vlei Rat,Otomys irroratus,adult body length,190.24,millimeters
41396_adult body length,41396,Proboscis Bat,Rhynchonycteris naso,adult body length,47.97,millimeters
852245_adult body length,852245,Middle Eastern Molerat,Nannospalax ehrenbergi,adult body length,270.0,millimeters
42341_adult body length,42341,Northern Bushbuck,Tragelaphus scriptus,adult body length,1373.55,millimeters
40348_adult body length,40348,Cave Myotis,Myotis velifer,adult body length,65.0,millimeters
46180_adult body length,46180,Gunnison's Prairie Dog,Cynomys gunnisoni,adult body length,304.56,millimeters
43813_adult body length,43813,Brazilian Guinea Pig,Cavia aperea,adult body length,400.0,millimeters
74617_adult body length,74617,Cozumelan Golden Bat,Mimon cozumelae,adult body length,75.0,millimeters
74659_adult body length,74659,Northern Red Muntjac,Muntiacus vaginalis,adult body length,1157.495,millimeters
75115_adult body length,75115,Siamang,Symphalangus syndactylus,adult body length,862.495,millimeters
74191_adult body length,74191,Tantalus Monkey,Chlorocebus tantalus,adult body length,660.0,millimeters
42025_adult body length,42025,Serval,Leptailurus serval,adult body length,916.255,millimeters
40281_adult body length,40281,Geoffroy's Bat,Myotis emarginatus,adult body length,50.0,millimeters
41627_adult body length,41627,African Civet,Civettictis civetta,adult body length,840.07,millimeters
42809_adult body length,42809,Short-eared Brush-tailed Possum,Trichosurus caninus,adult body length,580.0,millimeters
41824_adult body length,41824,Lesser Grison,Galictis cuja,adult body length,436.645,millimeters
41789_adult body length,41789,American Badger,Taxidea taxus,adult body length,639.175,millimeters
42733_adult body length,42733,Striped Possum,Dactylopsila trivirgata,adult body length,273.0,millimeters
43606_adult body length,43606,Gmelin's Woolly Lemur,Avahi laniger,adult body length,362.5,millimeters
43043_adult body length,43043,Eastern European Hedgehog,Erinaceus concolor,adult body length,237.17,millimeters
46272_adult body length,46272,Southern Flying Squirrel,Glaucomys volans,adult body length,171.49,millimeters
40187_adult body length,40187,Yellow-footed Antechinus,Antechinus flavipes,adult body length,114.62,millimeters
43047_adult body length,43047,Amur Hedgehog,Erinaceus amurensis,adult body length,249.64,millimeters
43042_adult body length,43042,Common Hedgehog,Erinaceus europaeus,adult body length,268.585,millimeters
46969_adult body length,46969,Iberian mole,Talpa occidentalis,adult body length,140.0,millimeters
42405_adult body length,42405,African Buffalo,Syncerus caffer,adult body length,2962.93,millimeters
47107_adult body length,47107,Giant Anteater,Myrmecophaga tridactyla,adult body length,1512.36,millimeters
43439_adult body length,43439,Yucatán Black Howler Monkey,Alouatta pigra,adult body length,740.97,millimeters
45863_adult body length,45863,European Garden Dormouse,Eliomys quercinus,adult body length,156.87,millimeters
47078_adult body length,47078,Pichi,Zaedyus pichiy,adult body length,316.25,millimeters
44570_adult body length,44570,Australian Bush Rat,Rattus fuscipes,adult body length,159.25,millimeters
47075_adult body length,47075,Nine-banded Armadillo,Dasypus novemcinctus,adult body length,507.895,millimeters
43119_adult body length,43119,Granada Hare,Lepus granatensis,adult body length,459.0,millimeters
47014_adult body length,47014,Eastern Mole,Scalopus aquaticus,adult body length,147.605,millimeters
424254_adult body length,424254,Daubenton's bat,Myotis daubentonii,adult body length,47.7,millimeters
225754_adult body length,225754,Sonoma Chipmunk,Neotamias sonomae,adult body length,146.815,millimeters
41387_adult body length,41387,Gray Sac-winged Bat,Balantiopteryx plicata,adult body length,53.0,millimeters
45955_adult body length,45955,Prevost's Squirrel,Callosciurus prevostii,adult body length,263.5,millimeters
41974_adult body length,41974,Canada Lynx,Lynx canadensis,adult body length,806.15,millimeters
852334_adult body length,852334,Mountain Viscacha,Lagidium viscacia,adult body length,396.185,millimeters
45932_adult body length,45932,Dassie Rat,Petromus typicus,adult body length,200.0,millimeters
43339_adult body length,43339,Grévy's Zebra,Equus grevyi,adult body length,2850.0,millimeters
183164_adult body length,183164,Canyon Bat,Parastrellus hesperus,adult body length,57.73,millimeters
41147_adult body length,41147,California Leaf-nosed Bat,Macrotus californicus,adult body length,62.68,millimeters
47051_adult body length,47051,American Shrewmole,Neurotrichus gibbsii,adult body length,81.38,millimeters
41939_adult body length,41939,White-tailed Mongoose,Ichneumia albicauda,adult body length,640.845,millimeters
74476_adult body length,74476,Western Yellow Bat,Lasiurus xanthinus,adult body length,75.0,millimeters
55908_adult body length,55908,Mountain Hare,Lepus timidus,adult body length,559.5,millimeters
179988_adult body length,179988,Thirteen-lined Ground Squirrel,Ictidomys tridecemlineatus,adult body length,271.75,millimeters
40232_adult body length,40232,Tasmanian Devil,Sarcophilus harrisii,adult body length,678.93,millimeters
41110_adult body length,41110,Seba's Short-tailed Bat,Carollia perspicillata,adult body length,66.995,millimeters
